fecha_hora,consentimiento,edad,genero,vinculo_universidad,ha_donado,frecuencia_donacion,causa_donacion,donaria,monto_donacion,confianza_campana,prob_llegada_recursos,compartiria_campana,razon_donacion,confianza_alcaldias,confianza_gobierno,confianza_ong,confianza_universidades,confianza_religiosa,confianza_empresas,capacidad_institucion,liderazgo_institucion,experiencia_emergencia
10/9/2026 14:45:49,acepto participar,20,femenino,estudiante,"si, bienes",rara vez (1 vez al ano),animales,no, $ -   ,3,20 - 40,no,Porque no tengo plata ,2,5,8,2,2,1,ong,ong,si
10/9/2026 14:46:20,acepto participar,19,masculino,estudiante,"si, tiempo (voluntariado)",ocasional (2-4 veces al ano),emergencias,si," $ 25,000.00 ",7,60 - 80,si,Confianza en la institucion ,10,6,7,8,6,6,gobierno nacional,alcaldias,no
10/9/2026 14:47:04,acepto participar,21,femenino,estudiante,"si, bienes",ocasional (2-4 veces al ano),emergencias,si," $ 20,000.00 ",9,40 - 60,si,Por empatia.,5,2,4,7,1,6,universidades,ong,si
10/9/2026 14:47:17,acepto participar,20,masculino,estudiante,"si, tiempo (voluntariado)",ocasional (2-4 veces al ano),emergencias,si," $ 50,000.00 ",7,40 - 60,si,"donaria porque yo tengo afortunadamente lo minimo para vivir bien y estar bien. en cambio esas personas perdieron todo y probablemente su unica oportunidad esta puesta en las donaciones, entonces por hacer alguna donacion no me voy a morir ni me va a pasar nada malo, sino que causara un impacto positivo en los afectados ",3,10,10,5,7,6,gobierno nacional,gobierno nacional,si
10/9/2026 14:48:55,acepto participar,19,masculino,estudiante,"si, bienes",rara vez (1 vez al ano),desastres,si," $ 10,000.00 ",6,40 - 60,si,.,2,2,2,3,3,2,gobierno nacional,gobierno nacional,si
10/9/2026 14:49:16,acepto participar,20,femenino,estudiante,"si, bienes",rara vez (1 vez al ano),religiosa,si," $ 40,000.00 ",7,40 - 60,tal vez,desconfianza en la fuente ,3,3,3,3,5,3,organizacion religiosa,gobierno nacional,si
10/9/2026 15:02:26,acepto participar,20,masculino,estudiante,"no, ninguna de las anteriores",nunca,no aplica,si," $ 25,000.00 ",6,40 - 60,no,Por pirobo,2,2,1,3,0,1,gobierno nacional,gobierno nacional,no
10/9/2026 15:03:09,acepto participar,20,masculino,estudiante,"si, tiempo (voluntariado)",rara vez (1 vez al ano),desastres,si," $ 20,000.00 ",4,20 - 40,tal vez,Que se roben las donaciones ,7,8,5,9,7,10,gobierno nacional,gobierno nacional,no
10/9/2026 15:03:17,acepto participar,21,masculino,estudiante,"si, tiempo (voluntariado)",rara vez (1 vez al ano),animales,si," $ 50,000.00 ",7,40 - 60,tal vez,Porque siento que los “privilegios” (asi sea tener un techo digno) deben aprovecharse precisamente para ayudar a personas que no lo tienen.,1,2,2,2,0,3,empresas Privadas,gobierno nacional,no
10/9/2026 15:07:20,acepto participar,20,masculino,estudiante,"si, bienes",rara vez (1 vez al ano),emergencias,si," $ 50,000.00 ",4,40 - 60,no,empatia pero dudo de la campana,6,7,8,9,1,8,gobierno nacional,gobierno nacional,no
10/9/2026 15:10:26,acepto participar,21,masculino,estudiante,"si, tiempo (voluntariado)",rara vez (1 vez al ano),educacion,si," $ 10,000.00 ",7,60 - 80,no,Confianza en la destinacion de recursos ,8,9,9,9,8,9,gobierno nacional,ong,no
10/9/2026 15:12:27,acepto participar,21,Prefiero no decir,estudiante,"si, bienes",ocasional (2-4 veces al ano),emergencias,no," $ 1,000.00 ",6,20 - 40,tal vez,Inseguridad,3,3,3,3,3,8,empresas Privadas,gobierno nacional,no
10/9/2026 15:30:40,acepto participar,20,masculino,estudiante,"si, bienes",ocasional (2-4 veces al ano),emergencias,si," $ 45,000.00 ",5,40 - 60,tal vez,Por que a cualquiera le puede pasar ,5,4,5,6,6,10,ong,gobierno nacional,no
